novelLink,Book Name,lastChapterName,lastChapterLink,Book URL,Book Genre,Book Image,Book Author,Book Rating,Book Tags,Book Language,Description,Book Slug,Book Chapters,Novel Status,thumbnail
https://1stkissnovel.love/novel/i-became-the-wife-of-the-monstrous-crown-prince/,I Became the Wife of the Monstrous Crown Prince,Chapter 135,https://1stkissnovel.love/novel/i-became-the-wife-of-the-monstrous-crown-prince/chapter-135/,https://www.novelupdates.com/series/i-became-the-wife-of-the-monstrous-crown-prince/,Adventure:Fantasy:Josei:Romance,https://cdn.novelupdates.com/images/2020/07/IMG_20200709_003058.jpg,꿈결나무,(4.0 / 5.0 140 votes),"Aristocracy,Child Protagonist,Childish Protagonist,Curses,European Ambience,Female Protagonist,Multiple POV,Nobles,Reincarnation,Transmigration,Younger Love Interests",Korean,"She transmigrated into the body of “Ancia” the wife of the monstrous crown prince “Blake” in a R-19 romance novel.
In the original story Ancia committed suicide on her first day of marriage leaving Blake with a huge trauma. But this time Ancia didn’t have any intention of leaving him.
Blake is the second male lead in the original story. He is potrayed as a beast who posses’ an exquisite facade. Yet right now he behaved like a naive rabbit. 
The only person who can remove the crown prince’s curse is the heroine Diana. My only role is to keep this little boy from getting hurt and then step down in time. But…..
“Ancia don’t leave me!”
This little rabbit keeps chasing me.
",i-became-the-wife-of-the-monstrous-crown-prince, 91 Chapters,Ongoing,https://cdn.novelupdates.com/imgmid/series_32311.jpg
https://1stkissnovel.love/novel/the-villainess-reverses-the-hourglass/,The Villainess Reverses the Hourglass,Chapter 288 (END) - . Extra Story III,https://1stkissnovel.love/novel/the-villainess-reverses-the-hourglass/chapter-288-end-extra-story-iii/,https://www.novelupdates.com/series/the-villainess-reverses-the-hourglass/,Fantasy:Romance:Shoujo,https://cdn.novelupdates.com/images/2019/06/VillainessReversestheHourglass7.jpg,San Sobi,(3.7 / 5.0 265 votes),"Adapted to Manhwa,Beautiful Female Lead,Clingy Lover,Cunning Protagonist,Discrimination,Engagement,Female Protagonist,Hidden Abilities,Jealousy,Loyal Subordinates,Manipulative Characters,Nobles,Revenge,Second Chance,Special Abilities,Villainess Noble Girls",Korean,"With the marriage of her prostitute mother to the Count Aria’s status in society skyrocketed immediately. After leading a life of luxury Aria unfairly meets death because of her sister Mielle’s schemes. And right before she dies she sees an hourglass fall as if it were a fantasy. And just like that she was miraculously brought back to the past.
“I want to become a very elegant person just like my sister Mielle.”
In order to face the villainess she must become an even more wicked villainess. This was the new path Aria chose to take revenge on Mielle who murdered both her and her mother.
",the-villainess-reverses-the-hourglass, 0 Chapters,Completed,https://cdn.novelupdates.com/imgmid/series_23173.jpg
https://1stkissnovel.love/novel/the-villainess-is-a-marionette/,The Villainess is a Marionette,Chapter 100,https://1stkissnovel.love/novel/the-villainess-is-a-marionette/chapter-100/,https://www.novelupdates.com/series/the-villainess-is-a-marionette/,Drama:Fantasy:Romance:Shoujo,https://cdn.novelupdates.com/images/2020/05/The-Villainess-is-a-Marionette.jpg,Han Yi Rim,(4.2 / 5.0 111 votes),"Aristocracy,Betrayal,Childcare,Doting Love Interests,Early Romance,Female Protagonist,Male Yandere,Politics,Royalty,Second Chance,Siblings,Tragic Past,Weak Protagonist",Korean,"Cayena the Imperial Princess was known as the most beautiful woman in the Empire. She was a woman who knew nothing but evil and luxury.
However she was destined for ruin: she would be used as a chess piece by her younger brother to secure his throne and killed by her crazy husband.
“I’ll make you the Emperor.”
“… Sister are you referring to me?”
“In exchange give me freedom.”
She had to change things before she became that Cayena.
",the-villainess-is-a-marionette, 63 Chapters,Ongoing,https://cdn.novelupdates.com/imgmid/noimagemid.jpg
https://1stkissnovel.love/novel/cute-beast-world-beast-husband-memeda/,"Cute Beast World: Beast Husband, Memeda!",Chapter 882,https://1stkissnovel.love/novel/cute-beast-world-beast-husband-memeda/chapter-882/,https://www.novelupdates.com/series/cute-beast-world-beast-husband-memeda/,Adventure:Comedy:Fantasy:Harem:Josei:Romance:Shoujo,https://cdn.novelupdates.com/images/2020/07/183511.jpg,大果粒,(4.4 / 5.0 14 votes),"Beasts,Cute Protagonist,Devoted Love Interests,Handsome Male Lead,Love Interest Falls in Love First,Pregnancy,Special Abilities,System Administrator,Tribal Society",Chinese,"Lin Huanhuan never expected that she could transmigrate by simply soaking in the bath!
So be it if she had transmigrated but what is up with tranmigrating into a beast world?!
There were handsome male beastmen everywhere wearing only an animal skin skirt revealing their big long legs!
What? You also want me to give birth to your cubs?!
NONONO! Interracial love never yielded good results extremely lovingly (quickly)¹ let me go!
¹TN: Pun on the words ‘extremely lovingly’ (ku ai). It has the same pronounciation as ‘quickly’ (kuai) but broken up into two words.
",cute-beast-world-beast-husband-memeda, 4 Chapters,Ongoing,https://cdn.novelupdates.com/imgmid/series_32749.jpg
https://1stkissnovel.love/novel/your-majesty-i-want-you/,"Your Majesty, I Want You",Chapter 28: A Proper Partner (2),https://1stkissnovel.love/novel/your-majesty-i-want-you/chapter-28-a-proper-partner-2/,https://www.novelupdates.com/series/your-majesty-i-want-you/,Adult:Drama:Fantasy:Josei:Psychological:Romance:Smut:Tragedy,https://cdn.novelupdates.com/images/2020/02/fjskgls.jpg,Tiyabe,(3.6 / 5.0 112 votes),"Abusive Characters,BDSM,Cautious Protagonist,Charming Protagonist,Cold Love Interests,Court Official,Dark,Depictions of Cruelty,Fallen Nobility,First-time Interc**rse,Handsome Male Lead,Maids,Misunderstandings,Politics,Possession,Power Struggle,Romantic Subplot,R*pe,S*xual Abuse,Tragic Past",Korean,"The 17th Emperor of the Empire was a woman. Purely thanks to the Duke of Roark was she able to overtake the throne against her brothers.
“Your Majesty I’m ready to follow your will.”
He was the emperor’s loyal supporter and every noblemen bow their heads and wag their tails at his command.  Yet despite his devotion the emperor treats him coldly. But little does the public know that inside closed doors she belongs to him.
*
In the dead of the night.
The door is wide open and the duke entered the emperor’s room without permission.
“Get out” he said to the servants eyes locked on the emperor.
She looked at him and said “I’m begging you not today…”
Before him her dignity was useless and authority whisked away. 
“Your Majesty today you enchant me. I’m afraid I can’t hold it in any longer.” His eyes glided over her sweet body and tore her clothing apart without hesitation. “Sorry I’m afraid that it may be a rough night.”
",your-majesty-i-want-you, 0 Chapters,Ongoing,https://cdn.novelupdates.com/imgmid/series_28014.jpg
https://1stkissnovel.love/novel/the-immortal-doctress-emperors-consort/,The Immortal Doctress: Emperor’s Consort,Chapter 2274: Ling Qingye and the Little Fairy,https://1stkissnovel.love/novel/the-immortal-doctress-emperors-consort/chapter-2274-ling-qingye-and-the-little-fairy/,https://www.novelupdates.com/series/the-immortal-doctress-emperors-consort/,Historical:Romance,https://cdn.novelupdates.com/images/2020/10/30011s.jpg,Gu Jin Dye,(3.0 / 5.0 3 votes),"Devoted Love Interests,Protagonist Strong from the Start",Chinese,"She is the female overlord of Tianyue Dynasty who bullies men and women. 
She is notorious to the point that none dares to marry her.
He is the most powerful and mysterious Emperor in Tianyue Dynasty who was above ten thousand people. 
Was loved by thousands of women but none could get close to him.
It was not until she met him that she knew what it meant for a wicked woman to be afraid of a pestering stalker.
‘The Madam emptied out the entire herbal shop today.’
‘Move by the way send the deeds of all the other medical stores to her.’
‘ Madam injured Xu Shizi he is threatening to teach Madam a lesson.’
‘ Is he tired of living? Even my people dare to move too! ‘
She is black-bellied and ruthless unrestrained and temperamental quick to revenge but he’ll forever put her at the top of his heart. 
To protect her at every turn like a rare little treasure.
",the-immortal-doctress-emperors-consort, 2 Chapters,Ongoing,https://cdn.novelupdates.com/imgmid/series_35907.jpg
https://1stkissnovel.love/novel/the-rebirth-of-the-last-days-and-return-to-fang-hao/,The Rebirth of the Last Days and Return to [Fang] Hao,Chapter 201,https://1stkissnovel.love/novel/the-rebirth-of-the-last-days-and-return-to-fang-hao/chapter-201/,https://www.novelupdates.com/series/the-rebirth-of-the-last-days-and-return-to-fang-hao/,Fantasy:Romance:Yaoi,https://cdn.novelupdates.com/images/2020/08/The-Rebirth-of-the-Last-Days-and-Return-to-Fang-Hao.jpg,Warm Charge,(4.3 / 5.0 28 votes),"Apocalypse,Devoted Love Interests,Farming,Power Couple,Seme Protagonist",Chinese,"Before rebirth He Zizhong was unfortunate. This loyal dog was loyal to the wrong target. In the difficult end times he was betrayed by his relatives deceived by his lover to show his space and was sadly chased by the enemy.
It wasn’t until before he died that he learned that Fang Hao who accompanied him all the way turned out to be the junior brother who confessed to him in high school. It’s a pity that he died too in his arms.
In He Zizhong’s past life Fang Hao felt that he was lucky after six or seven years in the desperate apocalypse he found the senior who was his first love again and he could accompany him for half a year.
More importantly at the end of life you can still die in the arms of someone you like. Is there anything happier in the world?
After rebirth He Zizhong reused facts to prove that of course there is something happier in this world than death at the same point.
With a space and a lover who he has vowed to protect in this life hitting zombies upgrading and creating a better life together this is He Zizhong’s life goal after rebirth. What do you do when you encounter a lover who has cheated on your feelings in your previous life a selfishly wants to deceive your own space cousin or issues a killing order to chase down your love rival?
Since they can’t get around step on them in the mud with one foot!
",the-rebirth-of-the-last-days-and-return-to-fang-hao, 5 Chapters,Ongoing,https://cdn.novelupdates.com/imgmid/series_33558.jpg
https://1stkissnovel.love/novel/miracle-doctor-abandoned-daughter-the-sly-emperors-wild-beast-tamer-empress/,"Miracle Doctor, Abandoned Daughter: The Sly Emperor’s Wild Beast-Tamer Empress",Chapter 6668: Xiao Chi Chi (Part 1),https://1stkissnovel.love/novel/miracle-doctor-abandoned-daughter-the-sly-emperors-wild-beast-tamer-empress/chapter-6668-xiao-chi-chi-part-1/,https://www.novelupdates.com/series/miracle-doctor-abandoned-daughter-the-sly-emperors-wild-beast-tamer-empress/,Action:Fantasy:Martial Arts:Mature:Romance:Shoujo:Xuanhuan,https://cdn.novelupdates.com/images/2016/09/19251s.jpg,MS Lotus,(4.2 / 5.0 272 votes),"Adapted to Manhua,Beast Companions,Beautiful Female Lead,Bullying,Cultivation,Determined Protagonist,Doctors,Familial Love,Female Protagonist,Handsome Male Lead,Loli,Love Triangles,Magic Beasts,Male Yandere,Obsessive Love,Pill Concocting,Poor to Rich,Revenge,S*xual Abuse,Transmigration",Chinese,"The mentally disabled 13 year old daughter of the Ye family one day re-births! She rules over the Omnipotent God’s Cauldron she possesses a spirit cultivation space. She’s no longer the good-for-nothing abandoned girl who everyone bullies whenever they see her! With her incomparable poisons even miracle doctors have to move to the side.
Spirit beasts beg for contracts but too bad even the God of Beasts have to call her Boss. Scum father you dare to abandon your wife and daughter she will surely make him destitute and homeless. People of the world you dare to bully her to insult her she will definitely pay them back a hundredfold.
Reborn again into the world she returns as a sovereign but who knew she would attract the nefarious-blood-thirsty-demon him. He’s definitely the sly emperor who doesn’t hesitate to kill and cut down anyone but he transforms into a harmless foolishly cute prisoner prince of an enemy country……
",miracle-doctor-abandoned-daughter-the-sly-emperors-wild-beast-tamer-empress, 748 Chapters,Ongoing,https://cdn.novelupdates.com/imgmid/series_7934.jpg
https://1stkissnovel.love/novel/i-tamed-a-tyrant-and-ran-away/,I Tamed a Tyrant and Ran Away,Chapter 63,https://1stkissnovel.love/novel/i-tamed-a-tyrant-and-ran-away/chapter-63/,https://www.novelupdates.com/series/i-tamed-a-tyrant-and-ran-away/,Drama:Fantasy:Josei:Romance:Shoujo,https://cdn.novelupdates.com/images/2019/05/cover-boring.jpg,유소이,(4.1 / 5.0 108 votes),"Age Regression,Beautiful Female Lead,Female Protagonist,Love Interest Falls in Love First,Overpowered Protagonist,Royalty,Sentient Objects,Sword Wielder,Younger Love Interests",Korean,"God gave me one more chance and finally came back after four hundred years. 
As soon as I realized I returned I decided that ‘no one should have pride.’ 
My goal was to destroy the country. So I grew up with a genius prince who lived in hiding before returning.
 He took up the empire for me and I left him for him to achieve his goal.
 ‘I came to pick you up Charlize Ronan.’ Dylan who became a perfect tyrant after a few years found me after searching all over the continent. 
‘Why did you flee and run away?’
",i-tamed-a-tyrant-and-ran-away, 34 Chapters,Ongoing,https://cdn.novelupdates.com/imgmid/series_22228.jpg
https://1stkissnovel.love/novel/rebirth-of-the-strongest-female-emperor/,Rebirth of the Strongest Female Emperor,Chapter 2761 (END),https://1stkissnovel.love/novel/rebirth-of-the-strongest-female-emperor/chapter-2761-end/,https://www.novelupdates.com/series/rebirth-of-the-strongest-female-emperor/,Action:Adventure:Comedy:Drama:Josei:Romance:Xuanhuan,https://cdn.novelupdates.com/images/2018/01/8c1bce662f825a51abd6324fec6793d3.jpg,North Night,(4.0 / 5.0 140 votes),"Arranged Marriage,Beasts,Black Belly,Broken Engagement,Clever Protagonist,Cunning Protagonist,Death,Depictions of Cruelty,Doctors,Female Protagonist,Ghosts,Handsome Male Lead,Late Romance,Love Interest Falls in Love First,Multiple Identities,Mysterious Family Background,Pets,Pragmatic Protagonist,Reincarnation,Revenge,Schemes And Conspiracies,Second Chance,Strength-based Social Hierarchy,Time Skip,Weak to Strong",Chinese,"Past life her spirit root was dug out from her body. She had wholeheartedly dedicated herself to the just path but she was sentenced as an evil demonic cultivator.
Returning back to her juvenile years she turns the tide. Against natural order she had been reborn. Those who had deceived and humiliated her she would return it to them a hundredfold with additional thanks.
Studying her own blood vessels she recasts the best quality spirit roots. She destroys those rascal clansmen and returned home with glory!
The rules of the world do not hold her down; this time around she kills through the righteous path.
He is the universally admired spirit emperor high above others cold proud and aloof. But every night he sneaks into her room and takes liberties. “Little runt won’t you think it over?”
“Do I have a choice?”
“You can choose from giving birth once or giving birth twice.”
“Why must I?!”
“Because you stole my heart.”
",rebirth-of-the-strongest-female-emperor, 143 Chapters,Ongoing,https://cdn.novelupdates.com/imgmid/series_15627.jpg
