novelLink,Book Name,lastChapterName,lastChapterLink,Book URL,Book Genre,Book Image,Book Author,Book Rating,Book Tags,Book Language,Description,Book Slug,Book Chapters,Novel Status,thumbnail
https://vipnovel.com/vipnovel/lord-of-the-mysteries/,Lord of the Mysteries,Chapter 1430,https://vipnovel.com/vipnovel/lord-of-the-mysteries/chapter-1430,https://www.novelupdates.com/series/lord-of-the-mysteries/,Action:Adventure:Drama:Fantasy:Horror:Mature:Mystery:Psychological:Supernatural,https://cdn.novelupdates.com/images/2018/11/Lord-of-the-Mysteries.jpeg,Cuttlefish That Loves Diving,(4.7 / 5.0 810 votes),"Acting,Adapted to Manhua,Artifacts,Caring Protagonist,Character Growth,Cultivation,Curses,Death,Destiny,Determined Protagonist,Dragons,Evil Gods,Evil Religions,Familial Love,Fantasy World,Firearms,Goddesses,Gods,Hiding True Identity,Lucky Protagonist,Male Protagonist,Mature Protagonist,Money Grubber,Multiple Identities,Mutated Creatures,Mythology,Nobles,Pirates,Proactive Protagonist,Religions,Schemes And Conspiracies,Secret Organizations,Shapeshifters,Special Abilities,Thriller,Transformation Ability,Weak to Strong",Chinese,"With the rising tide of steam power and machinery who can come close to being a Beyonder? Shrouded in the fog of history and darkness who or what is the lurking evil that murmurs into our ears? 
Waking up to be faced with a string of mysteries Zhou Mingrui finds himself reincarnated as Klein Moretti in an alternate Victorian era world where he sees a world filled with machinery cannons dreadnoughts airships difference machines as well as Potions Divination Hexes Tarot Cards Sealed Artifacts… 
The Light continues to shine but mystery has never gone far. Follow Klein as he finds himself entangled with the Churches of the world—both orthodox and unorthodox—while he slowly develops newfound powers thanks to the Beyonder potions. 
Like the corresponding tarot card The Fool which is numbered 0—a number of unlimited potential—this is the legend of “The Fool”.
",lord-of-the-mysteries, 113 Chapters,Completed,https://cdn.novelupdates.com/imgmid/series_17042.jpg
https://vipnovel.com/vipnovel/immortal-and-martial-dual-cultivation/,Immortal and Martial Dual Cultivation,Chapter 2380,https://vipnovel.com/vipnovel/immortal-and-martial-dual-cultivation/chapter-2380,https://www.novelupdates.com/series/immortal-and-martial-dual-cultivation/,Action:Adventure:Fantasy:Martial Arts:Shounen:Xianxia:Xuanhuan,https://cdn.novelupdates.com/images/2017/03/immortal-and-martial-dual-cultivation.jpg,Moon Like Fire,(3.3 / 5.0 232 votes),"Alchemy,Bloodlines,Buddhism,Crafting,Demons,Inheritance,Nobles,Romantic Subplot,Transported to Another World,Weak to Strong",Chinese,"Reach the peak of immortal cultivation and become able to run amok without fear!
Use the power of martial arts to rule the world and defeat heroes! 
The weather changes at the whim and wave of a palm. He who cultivates both immortal techniques and martial arts who could possibly defeat him! 
Xiao Chen is a shut-in who purchased a ‘Compendium of Cultivation’. Soon after he crossed over into the Tianwu World a world ruled by martial arts. He then refined pills drew talismans practiced formations crafted weapons and cultivated the Azure Dragon Martial Soul that had not been seen for thousands of years. 
This is a story that tells of an exciting and magnificent legend!
",immortal-and-martial-dual-cultivation, 2168 Chapters,Ongoing,https://cdn.novelupdates.com/imgmid/series_10717.jpg
https://vipnovel.com/vipnovel/fields-of-gold/,Fields of Gold,Chapter 733,https://vipnovel.com/vipnovel/fields-of-gold/chapter-733,https://www.novelupdates.com/series/fields-of-gold/,Drama:Fantasy:Josei:Romance:Slice of Life,https://cdn.novelupdates.com/images/2019/06/D7809d-UYAAL-vS.png,Tranquil Fine Rain,(4.0 / 5.0 219 votes),"Abusive Characters,Ancient China,Business Management,Cheats,Child Protagonist,Cold Love Interests,Cooking,Cute Children,Doting Love Interests,Doting Parents,Family,Female Protagonist,Hard-Working Protagonist,Loli,Male Yandere,Money Grubber,Older Love Interests,Persistent Love Interests,Poor to Rich,Psychic Powers,Transmigration",Chinese,"She transmigrated into the body of a little girl from a fishing village! Her father is honest and foolishly filial while her mother is weak and ill. Moreover her siblings are still young children. 
Her father was the best fisher in the village and breadwinner of the entire family. However when he got injured and was on the verge of death her cruel grandparents and uncle kicked her whole family out. They were hungry and cold with nothing but an empty house…
But that’s ok! She has a multicolored stone that can accelerate the growth of crops. She was also an expert at preparing braised meat in her previous life. 
Just watch as she an eight year-old girl challenges the taste buds of people who lived during ancient times. With improved high-yielding crops she’s going to become the most famous farming expert in the world!
",fields-of-gold, 596 Chapters,Ongoing,https://cdn.novelupdates.com/imgmid/series_22848.jpg
https://vipnovel.com/vipnovel/comeback-of-the-abandoned-wife-novel/,Comeback of the Abandoned Wife,Chapter 340,https://vipnovel.com/vipnovel/comeback-of-the-abandoned-wife-novel/chapter-340,https://www.novelupdates.com/series/comeback-of-the-abandoned-wife/,Comedy:Romance:Xuanhuan:Yaoi,https://cdn.novelupdates.com/images/2020/02/ComebackAbandoned1b.jpg,Jin Yuanbao,(4.1 / 5.0 88 votes),"Ancient China,Childcare,Fast Cultivation,Fat to Fit,Mysterious Family Background,Revenge,Second Chance,Special Abilities,Wealthy Characters",Chinese,"After Wu Ruo dies he is reborn in those dark days when he was the most useless and the fattest that he hated the most.
And in his new life he not only has been married with a man but also is a useless waste who can’t cultivate. He needs other’s support when he gets up and would pant taking a few more steps and even would get his butt stuck by the door when he tries to get out through it. You can say he has arrived to a new level of his wasteness and meanwhile reached a new fat level.
But…
Even though he has already been this fat he still wants him to serve him in bed???
Damn it!
Fine! See how I crush you in bed!
In this life when Wu Ruo decides to take revenge he has erased all his past that’s even hard to tell…
",comeback-of-the-abandoned-wife, 80 Chapters,Ongoing,https://cdn.novelupdates.com/imgmid/series_27989.jpg
https://vipnovel.com/vipnovel/im-pregnant-with-the-villains-child/,I’m Pregnant with the Villain’s Child,Chapter 288,https://vipnovel.com/vipnovel/im-pregnant-with-the-villains-child/chapter-288,https://www.novelupdates.com/series/im-pregnant-with-the-villains-child/,Drama:Josei:Psychological:Romance:Slice of Life,https://cdn.novelupdates.com/images/2019/08/Im-pregnant-with-the-villains-child-cover.jpg,公子闻筝,(3.9 / 5.0 315 votes),"Acting,Beautiful Female Lead,Celebrities,Confinement,Female Protagonist,Forced Marriage,Love Interest Falls in Love First,Manipulative Characters,Misunderstandings,Possessive Characters,Reverse R*pe,Second Chance,Twins",Chinese,"The older sister flees from her wedding to be with her lover and her younger sister is forced to take her place in marrying a very powerful man.
As luck would have it she ends up transmigrating into the body of that younger sister.
Although the man that she weds is very powerful he’s the irredeemable final villain.
All villains are doomed to a bleak ending. And as this villain’s wife she’s afraid that her ending won’t be good either.
Fortunately the older sister had gone back in time after having experienced a lifetime of suffering. This prodigal daughter returns to the turning point of her life. Pointing at her younger sister she demands for her younger sister to hand over her husband.
Looking at this beautifully crying older sister Ye Zhen swiftly yields and says “Older sister don’t worry. I haven’t even done anything with brother-in-law!”
To her shock she later discovers that she’s pregnant.
With tears in her eyes her older sister says “Didn’t you say that nothing happened between the two of you?”
Ye Zhen looks at the great villain that doggedly pursues her. She is utterly and totally doomed.
There’s a great villain lying next to her and she’s pregnant with a mini villain. How’s she suppose to survive?!
Later on as Ye Zhen watches the great villain putting the baby down and changing the diaper she sighs. “There’s nothing that can be done. I’ve already missed the golden opportunity to turn things around. How can I leave now?”
",im-pregnant-with-the-villains-child, 225 Chapters,Ongoing,https://cdn.novelupdates.com/imgmid/series_24019.jpg
https://vipnovel.com/vipnovel/spending-the-villains-money-to-extend-my-life/,Spending the Villain’s Money to Extend My Life,Chapter 347,https://vipnovel.com/vipnovel/spending-the-villains-money-to-extend-my-life/chapter-347,https://www.novelupdates.com/series/spending-the-villains-money-to-extend-my-life/,Comedy:Drama:Josei:Romance:Shoujo:Slice of Life,https://cdn.novelupdates.com/images/2019/11/HEML.jpg,Salted Lobster,(4.1 / 5.0 158 votes),"Arranged Marriage,Beautiful Female Lead,Carefree Protagonist,Couple Growth,Doting Love Interests,Female Protagonist,Heartwarming,Modern Day,Power Couple,Previous Life Talent,Transmigration,Villainess Noble Girls",Chinese,"Gu Shishi a master of traditional Chinese painting transmigrated into the role of  a cannon fodder in a cliché novel.
The cannon fodder female supporting character was switched at birth. She had barely spent a few days with her biological parents before she was tossed into the wolf’s den by those same parents. Her parents having no heart to send their fake daughter with a heart disease to live a hard life forced the real daughter into becoming the replacement. Gu Shishi was sent away to marry the big villain – the rumored evil cruel and wife-cursing first young master of the Huo’s.
On the very first day that she had transmigrated she had to face her fated tragic death….
Luckily she had also inadvertently discovered the path to altering her fate!
— The more gifts she received from the big villain the longer she could live and the more cheats she would gain!
System:
(Wealthy Housewife System Initiated!)
(Remaining Life: 8 minutes and 56 seconds)
(Recharge to extend your life.)
(Method of Recharging: Receive Money or Valuables from Wealthy Husband.)
(Received DIOR Bobbin Net Smock x 1 recharge value: $15000!)
(Received FENDI Black Hooded Sweater x 1 recharge value: $10160!)
(Received Givenchy Single Strap Mini Floral Print Pleated Skirt x 1 recharge value $180695!)
(Recharge Successful!)
(Note: 24 hours additional life for every $1000.)
",spending-the-villains-money-to-extend-my-life, 203 Chapters,Ongoing,https://cdn.novelupdates.com/imgmid/series_25720.jpg
https://vipnovel.com/vipnovel/avoid-the-protagonist/,Avoid the Protagonist!,Chapter 302,https://vipnovel.com/vipnovel/avoid-the-protagonist/chapter-302,https://www.novelupdates.com/series/avoid-the-protagonist/,Drama:Josei:Romance:School Life,https://cdn.novelupdates.com/images/2019/07/ATP-Novel-Cover-Final.png,Shēng Yī,(3.4 / 5.0 259 votes),"Beautiful Female Lead,Enemies Become Lovers,Female Protagonist,Jealousy,Low-key Protagonist,Modern Day,Possessive Characters,Stalkers,Underestimated Protagonist",Chinese,"As tragedy befalls Xin Siyue she soon finds herself transmigrated into a novel world as a character. To her disappointment she became the villainess who obsessively chased after the male protagonist while scheming to tear apart his relationship with his beloved. 
To avoid her death route Xin Siyue carefully avoided the male and female protagonists at every turn. Instead she went off on her own to enjoy life. But somewhere along the way she made a mistake– the male protagonist took notice of her!
Xin Siyue’s eyes teared up as she was being kissed in Chen Sinan’s arms. ‘No! This wasn’t in the plot!’
",avoid-the-protagonist, 245 Chapters,Ongoing,https://cdn.novelupdates.com/imgmid/series_23919.jpg
https://vipnovel.com/vipnovel/the-failed-swordsman-who-became-the-strongest-after-spamming-the-100-million-years-button/,The Failed Swordsman Who Became the Strongest After Spamming the 100 Million Years Button,Chapter 241,https://vipnovel.com/vipnovel/the-failed-swordsman-who-became-the-strongest-after-spamming-the-100-million-years-button/chapter-241,https://www.novelupdates.com/series/the-failed-swordsman-who-became-the-strongest-after-spamming-the-100-million-years-button/,Action:Adventure:Fantasy:Harem:Martial Arts:Mystery:Romance:School Life:Shounen,https://cdn.novelupdates.com/images/2019/10/dropoutv1c.jpg,Shuichi Tsukishima,(2.8 / 5.0 259 votes),"Academy,Adapted to Manga,Arrogant Characters,Battle Academy,Beautiful Female Lead,Dense Protagonist,Fantasy Creatures,Hard-Working Protagonist,Hidden Abilities,Magical Space,Multiple Personalities,Naive Protagonist,Protagonist Strong from the Start,Sealed Power,Stoic Characters,Strong to Stronger,Sword And Magic,Underestimated Protagonist",Japanese,"There was a mysterious old man who approached the failed swordsman with the “100 million years button”. A magic button which can achieve the same effect as training for 100 million years if you push it.
The failed swordsman who pushed the button had his doubts but immediately felt tremendous power rising in his body. So he pushed the button many times.
However it was a cursed button. The moment it was pushed he was confined to the 100 million years prison of time. The first 100 years were devoted solely to training. After 1000 years he had forgotten why he swung his sword. He stopped thinking completely after 10000 years had passed. After 100 million years he became crippled and finally managed to return to the real world. At the same time losing all his memories from the past 100 million years the only thing that remained were his sword techniques. “I can become stronger just by pressing the button!” or so he thought and pushed the button many times after that. Foolishly trapping himself in that 100 million years of hell each time.
As he continued this loop he began to think “If I destroy this world will I get out of here?” A few billion years later he finally escaped from the loop.
This is the story of a failed swordsman trying to make a name for himself in the world.
",the-failed-swordsman-who-became-the-strongest-after-spamming-the-100-million-years-button, 223 Chapters,Ongoing,https://cdn.novelupdates.com/imgmid/series_21116.jpg
https://vipnovel.com/vipnovel/mr-rongs-lovelorn-diary/,Mr. Rong’s Lovelorn Diary,Chapter 85(End),https://vipnovel.com/vipnovel/mr-rongs-lovelorn-diary/chapter-85end,https://www.novelupdates.com/series/mr-rongs-lovelorn-diary/,Comedy:Romance:Yaoi,https://cdn.novelupdates.com/images/2019/02/ec25a62f26dcf87d98470c0adeb77b5d.jpg,桃白百,(4.4 / 5.0 148 votes),"Charismatic Protagonist,Cute Story,Handsome Male Lead,Modern Day,Omegaverse",Chinese,"When he was categorised as an Omega at the age of 13 Rong Yi made a tiny little wish. In the future he wanted to fall in love with a tall handsome and elegant Alpha whom he could share a romantic love with then build a blissful family with him and give birth to many cute babies together.
A few years later he grew into a tall handsome and elegant Omega and was passionately pursued by countless admirers of the same gender while all Alphas backed away from him in face of his superiority.
This was not the life he wanted.
",mr-rongs-lovelorn-diary, 32 Chapters,Completed,https://cdn.novelupdates.com/imgmid/series_20731.jpg
https://vipnovel.com/vipnovel/provocative-fiery-wife-my-superior-is-a-affectionate-spitfire/,Provocative Fiery Wife: My Superior is a Affectionate Spitfire,Chapter 1730,https://vipnovel.com/vipnovel/provocative-fiery-wife-my-superior-is-a-affectionate-spitfire/chapter-1730,https://www.novelupdates.com/series/provocative-fiery-wife-my-superior-is-a-affectionate-spitfire/,Comedy:Josei:Romance,https://cdn.novelupdates.com/images/2018/12/pfw12.jpg,Song Xixi,(2.8 / 5.0 28 votes),"Beautiful Female Lead,Handsome Male Lead",Chinese,"After a series of life-changing events Pei Ge decides to start anew and rediscover her place in this world. She gets a new job new friends and… a new boss whom she mistakes as a male host!
He helps her to get revenge on a back-stabbing friend supports her when it seems that the world has given up on her encourages her to be more confident about herself and even… messes up her blind dates! 
With her strong working abilities and fiery attitude she manages to climb up the ranks in the company (under the devious scheme of a certain CEO) and even gains a fan girl who can’t wait to be her sister-in-law.
As Pei Ge navigates through the ups and downs of office politics family drama finding her right partner and societal expectations she realizes that things are not as simple as it seemed and everything she had believed in is tested…
The Big Misunderstanding:
“You a**hole! Why didn’t you use protection?! I’m pregnant!”
“…It’s not mine.”
“a**hole! You actually dare to not admit it?! I gave all my firsts to you! You jerk!”
…
At the gynecologist she read her pregnancy lab report and was stunned: Irregular period.
The man raised an eyebrow and smirked “Didn’t you make a ruckus about being pregnant with my child? Where is the child?!”
“…” Who is scared of who? Let’s make a bet!
",provocative-fiery-wife-my-superior-is-a-affectionate-spitfire, 131 Chapters,Ongoing,https://cdn.novelupdates.com/imgmid/series_19939.jpg
